                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1454,                 2.6729,                 1.0843,                0.00351,                      1,                0.93602,                0.73739,                0.73522,                 3.0156,                0.90804,             0.00023338,             0.00023338,             0.00023338
                      2,                0.95599,                 1.4613,                0.98042,                0.25444,                  0.985,                0.84174,                0.59938,                0.96017,                 3.1438,                0.98608,             0.00047864,             0.00047864,             0.00047864
                      3,                0.97065,                 1.4747,                 0.9945,                0.98961,                0.99265,                0.99224,                0.71776,                0.96286,                 2.2461,                0.96911,             0.00071896,             0.00071896,             0.00071896
                      4,                 1.0107,                 1.4196,                 1.0279,                0.89183,                0.78042,                0.96976,                0.68369,                 0.9654,                 2.5347,                 1.0094,             0.00095432,             0.00095432,             0.00095432
                      5,                0.95579,                 1.3657,                  1.001,                0.99255,                      1,                0.99416,                0.78091,                0.79716,                 1.7217,                0.92377,              0.0011847,              0.0011847,              0.0011847
                      6,                0.97105,                 1.3073,                 1.0009,                 0.9863,                0.85662,                0.95793,                0.73513,                0.87679,                 1.8441,                0.96493,              0.0014102,              0.0014102,              0.0014102
                      7,                 1.0552,                 1.2712,                 1.0445,                0.67177,                0.74103,                0.71883,                0.35011,                 1.5914,                 2.7961,                 1.4074,               0.001568,               0.001568,               0.001568
                      8,                0.97084,                 1.1483,                0.99488,                0.53068,                0.46906,                0.61849,                0.24987,                 1.9072,                 3.5083,                 2.0056,              0.0015515,              0.0015515,              0.0015515
                      9,                0.98218,                 1.1071,                 0.9985,                0.78665,                0.51441,                0.64776,                0.33838,                 1.4837,                 2.8498,                 1.3761,               0.001535,               0.001535,               0.001535
                     10,                 1.0219,                 1.0377,                0.98809,                0.69466,                0.63476,                0.78018,                 0.5185,                 1.3184,                 2.3623,                 1.1964,              0.0015185,              0.0015185,              0.0015185
                     11,                0.98373,                0.97656,                 0.9837,                0.74698,                0.94073,                0.79894,                0.59501,                0.92802,                 1.4275,                0.97642,               0.001502,               0.001502,               0.001502
                     12,                0.92605,                 0.9631,                0.96756,                0.93218,                0.99686,                0.98326,                0.76358,                0.81406,                 1.0083,                0.94048,              0.0014855,              0.0014855,              0.0014855
                     13,                0.94914,                0.91785,                0.98012,                0.99059,                0.99543,                0.99178,                0.79527,                0.76183,                0.98614,                0.91848,               0.001469,               0.001469,               0.001469
                     14,                0.94811,                0.92418,                0.98667,                0.99367,                0.99906,                0.99094,                0.78071,                0.82395,                0.95416,                0.92255,              0.0014525,              0.0014525,              0.0014525
                     15,                0.89304,                0.85341,                0.95336,                0.99251,                  0.995,                 0.9901,                0.77439,                0.77102,                0.83007,                0.91803,               0.001436,               0.001436,               0.001436
                     16,                0.89379,                0.81735,                0.97397,                 0.9922,                      1,                0.99007,                0.77674,                0.78513,                0.88058,                  0.916,              0.0014195,              0.0014195,              0.0014195
                     17,                0.89462,                0.82468,                0.95694,                0.99325,                      1,                0.99228,                0.77118,                0.80305,                0.81576,                0.92379,              0.0014029,              0.0014029,              0.0014029
